description,user,dueDate,recurring,renewIn
Checking Of Open Paper Tray And Merchandise Display Trays All Sections Except On Wednesday,alisha-ap,,TRUE,1
Checking For Clients Information Cards,alisha-ap,,TRUE,1
"Checking Of Gold Section - Missing Stones, Bend Bangles/ Bracelet, Chain Locks, Earring Screw ",alisha-ap,,TRUE,1
Earings Properly Fixed On Display,alisha-ap,,TRUE,1
"Counters And Walls Displayed By Size, Pattern And Series",alisha-ap,,TRUE,1
In Free Time Help In Tagging Office,alisha-ap,,TRUE,1
All Price Tags Kept Unseen On Display,alisha-ap,,TRUE,1
Monthly Deep Clean Display,alisha-ap,,TRUE,30
Wednesday Cleaning Of Lunch Room And Restroom,alisha-ap,,TRUE,7
Match The Weight Check Of Each Shippment,amreen-am,,TRUE,1
Separate According To Stores,amreen-am,,TRUE,1
Distribution Of All Orders Received,amreen-am,,TRUE,1
Once A Week Give Refill To The Department Heads,amreen-am,,TRUE,1
Bagging All The Distributed Order And Place In Individual Store Box,amreen-am,,TRUE,1
Conference Room Clean-Up,amreen-am,,TRUE,1
Keeping A Tab Of Online Customer Request,amreen-am,,TRUE,1
Checking Emails On Daily Basis,amreen-am,,TRUE,1
Daily Vendor Selection,amreen-am,,TRUE,1
Check The Base Limits For Ordering,amreen-am,,TRUE,1
Ensuring The Order Is Received As It Was Placed,amreen-am,,TRUE,1
Quality Check Of Jwelery Post The Order Is Received,amreen-am,,TRUE,1
Report The Defects For All The Orders,amreen-am,,TRUE,1
"Stamping All The Orders, Save Screenshots",amreen-am,,TRUE,1
Edit Necessary Changes In Orders For All 3 Stores,amreen-am,,TRUE,1
Interstore Rotation,amreen-am, ,TRUE,30
Update Base For Atl & Tampa Every 3 Months,amreen-am,,TRUE,92
Help Tagging When Needed,amreen-am,,TRUE,7
Clicking Pitures And Transfering Them To Vjs,amreen-am, ,TRUE,7
Transfer Invertory When Needed,amreen-am,,TRUE,7
Check For Short And Over Styles To Rotate Between Stores,amreen-am,,TRUE,7
Once A Week Find The Dead Inventory Items And Notify Online Head For Sales,amreen-am,,TRUE,7
Once A Week Send Tampa Selection From Atlanta And Ws,amreen-am,,TRUE,7
Reordering Best Sellers Based On Sales,amreen-am,,TRUE,7
Once A Week Collect The List Of Missing Items From Section Leader,amreen-am,,TRUE,7
Special Order Placement And Follow Up With Vendors,amreen-am,,TRUE,7
"Call Client For Special Order Update, Modification And Pick Up",amreen-am,,TRUE,7
Layaway Order Pick-Up,amreen-am,,TRUE,7
Check Tampa Shortages And Send Merchandise,amreen-am,,TRUE,7
Make Repeat Orders,amreen-am,,TRUE,7
Personal Calls To Client'S For New Merchandise,amreen-am,,TRUE,7
Sales On Weekend,amreen-am,,TRUE,7
Rename Multiple Items,brandon-bp,,TRUE,14
Setup Jewelry,brandon-bp,,TRUE,1
Photograph Jewelry,brandon-bp,,TRUE,1
Photo Stack Photos Intoone Image,brandon-bp,,TRUE,1
Size Jewelry,brandon-bp,,TRUE,1
Retieve Jewelry From Showroom/Wholesale,brandon-bp,,TRUE,1
Check Jewelry For Defects Or Needed Repairs,brandon-bp,,TRUE,1
Send Daily Reports,brandon-bp,,TRUE,1
Clean Jewelry Of Any Residue From Propping Up For Images,brandon-bp,,TRUE,1
Check New Arrivals For Missing Images,brandon-bp,,TRUE,7
Clean And Sanatize Work Area,brandon-bp,,TRUE,7
Ordering & Managing Jewelry Display,faizan-fa,,TRUE,365
Find New And Better Suppliers And Boxes ,faizan-fa,,TRUE,365
Check Website For Missing Styles ,faizan-fa,,TRUE,14
Providing Maketing Material (Markting Kit),faizan-fa,,TRUE,14
Website Uploading ,faizan-fa,,TRUE,1
Managing Editing Team,faizan-fa,,TRUE,1
Managing Photography Team,faizan-fa,,TRUE,1
Managing Uploading Team,faizan-fa,,TRUE,1
Cordinating With Jharna Regarding Cc Requirments,faizan-fa,,TRUE,30
Corrections,faizan-fa,,TRUE,92
Taking Care Of Dal & Tpa Tech Needs,faizan-fa,,TRUE,92
Taking Care Of Dal & Tpa Supplies Need,faizan-fa,,TRUE,92
Ordering And Managing Jewelry Boxes,faizan-fa,,TRUE,92
Organizing And Keeping Track Of Atl Ws (With St And Rafael),faizan-fa,,TRUE,7
"Website Inv Management (Looking For Missing Styles, Major Codes, Types On The Website / Adding 2Y+ Inv For Deals Sections)",faizan-fa,,TRUE,7
Website Management,faizan-fa,,TRUE,7
Creative Set Review ,faizan-fa,,TRUE,7
Sales When Needed,faizan-fa,,TRUE,7
Gold Jewelry Refill,heena-hd,,TRUE,14
Boxes Refill - Yuesday And Friday ,heena-hd,,TRUE,14
Opening/Closing Gold Section,heena-hd,,TRUE,1
Glass Plus,heena-hd,,TRUE,1
Checking Trays,heena-hd,,TRUE,1
Re-Arange The Display Properly,heena-hd,,TRUE,1
Cleaning Gold Section,heena-hd,,TRUE,1
"Check Back Screw And Damages Check Missing Stone, Gold Balls Etc",heena-hd,,TRUE,1
Sales,heena-hd,,TRUE,1
Take Google Reviews,heena-hd,,TRUE,1
Assist Internet Department In Packing When Ever Required,heena-hd,,TRUE,30
Back Up Sushma For Inventry In Her Absence,heena-hd,,TRUE,30
Kitchen Cleaning Every Tuesday,heena-hd,,TRUE,7
Clean Displays ,heena-hd,,TRUE,7
Deep Cleaning Diamond Section ,janki-jp,,TRUE,60
Inventory Refill & Count ,janki-jp,,TRUE,1
Organizing Displays In The Counter ,janki-jp,,TRUE,1
Arrange The Trays Under The  Counter ,janki-jp,,TRUE,1
After Displaying Jewelry Making Sure Its Presentable ,janki-jp,,TRUE,1
Refilling Ziplog Bags And Organizing ,janki-jp,,TRUE,1
Section Display Change,janki-jp,,TRUE,1
Solitaire Diamond Rings Arrangement ,janki-jp,,TRUE,30
Cleaning Trays,janki-jp,,TRUE,4
Checking For Missing Stones,janki-jp,,TRUE,7
Client Follow-Ups,janki-jp,,TRUE,7
Dusting Displays In Use,janki-jp,,TRUE,7
Check Earnings Screws,janki-jp,,TRUE,7
Qc Jewelry ,janki-jp,,TRUE,7
Checking Tags With Weight,janki-jp,,TRUE,7
Clc Items/ Melting Considering The Time Frame ,kinjal-kb,,TRUE,14
Tagging Of Jewelry ,kinjal-kb,,TRUE,1
Inventory Repricing ,kinjal-kb,,TRUE,1
Inter Store Transfers,kinjal-kb,,TRUE,1
Picture Transfers ,kinjal-kb,,TRUE,1
Refilling To Section In Charges ,kinjal-kb,,TRUE,1
Office Safe Maintainance ,kinjal-kb,,TRUE,1
New Jewelry Arrival Organizing ,kinjal-kb,,TRUE,1
Solving Inventory Issues ,kinjal-kb,,TRUE,1
Ws Inventory Every Three Months ,kinjal-kb,,TRUE,92
Area Cleaning ,kinjal-kb,,TRUE,7
Sales ,kinjal-kb,,TRUE,7
Pull Items From Atl,lubna-lu,,TRUE,1
Shipping,lubna-lu,,TRUE,1
Packing,lubna-lu,,TRUE,1
Labeling,lubna-lu,,TRUE,1
Answering The Calls If Required (Landline),lubna-lu,,TRUE,1
Co-Ordinate With India Team Regarding Sales,lubna-lu,,TRUE,1
Giving Answer To Client Via Whats Up & Text Msgs (By Office Phone) Regarding Sales Or Items Inquiry,lubna-lu,,TRUE,1
Cleaning Internet Area,lubna-lu,,TRUE,1
Reviewing Our Website,lubna-lu,,TRUE,1
Taking Videos & Pictures For Client,lubna-lu,,TRUE,1
Refilling Boxes & Gifts,lubna-lu,,TRUE,7
Taking Clients (If Required),lubna-lu,,TRUE,7
Manage Supply Chain (Office Supplies),lubna-lu,,TRUE,7
Order Office Supplies As Per Requirement From Different Website,lubna-lu,,TRUE,7
Putting Supplies In Correct Place,lubna-lu,,TRUE,7
Sizing Of Jewelry,lubna-lu,,TRUE,7
Tagging ,sara-sa,,TRUE,1
Taking Pictures For Vjs,sara-sa,,TRUE,1
Cost Writing ,sara-sa,,TRUE,1
Pull Up Internet Items ,sara-sa,,TRUE,1
Update Inventory Sheets For Wholesale Items,sara-sa,,TRUE,30
Sales ,sara-sa,,TRUE,7
Sizing For Internet Items,sara-sa,,TRUE,7
Follow-Ups On Layawa/Special Order Calls,sara-sa,,TRUE,7
Create Shopping Cart Follow Up List For India Team Twice Monthly ,shahmeer-sd,,TRUE,14
Handle Upset Clients From India Team Or Any Client That Calls The Atl Showroom After Informing Zm ,shahmeer-sd,,TRUE,4
"Check Each Category On Website To Find What Types Of Pieces Are Needed (Antique, Yellow, Gem, Diamond)",shahmeer-sd,,TRUE,4
Opening (Pull Carts And Set Display),shahmeer-sd,,TRUE,1
Respond To All Emails From Clients And Inquries From Website,shahmeer-sd,,TRUE,1
Pull Leads From Inquries Sent To Email,shahmeer-sd,,TRUE,1
Distribute Leads Among Vk And Sg ,shahmeer-sd,,TRUE,1
Provide Pricing And Sale Assistance To India Team,shahmeer-sd,,TRUE,1
"Provide Pictures, Videos, And Measurmenets Of Pieces To India Team To Be Passed On To Client Or For Client Directly ",shahmeer-sd,,TRUE,1
Coordinate Various Aspects Of Online Sales With Dal And Tpa Team Not Limited Only To Shipping ,shahmeer-sd,,TRUE,1
Using Malani Cell Phone To Handle Video Calls (When Required),shahmeer-sd,,TRUE,1
Pick Up Phone Calls As Required,shahmeer-sd,,TRUE,1
Closing (Pull Carts And Go To Wherever Needed),shahmeer-sd,,TRUE,1
Check Floor Before Closing Safes,shahmeer-sd,,TRUE,1
Set Safes (When Required),shahmeer-sd,,TRUE,1
Close Safes (When Required),shahmeer-sd,,TRUE,1
Print Orders (When Required),shahmeer-sd,,TRUE,1
Pulling Items From Showroom To Be Shipped (When Required),shahmeer-sd,,TRUE,1
Making Shipping Labels (When Required),shahmeer-sd,,TRUE,1
Packing Orders (When Required),shahmeer-sd,,TRUE,1
Count Packages And Print Daily Fedex Sheet (When Required),shahmeer-sd,,TRUE,1
Find Inventory That Newly Qualifies For Deals Categories Each Month ,shahmeer-sd,,TRUE,30
Check Uploads 1 Month After Pics Taken To Make Sure The Needed Pieces Were Uploaded ,shahmeer-sd,,TRUE,30
Handle All Rma Requests While Passing Appropriate Info To Zm ,shahmeer-sd,,TRUE,7
Get Quotes For Custom Orders From Hs And Deliver To Client Through Email,shahmeer-sd,,TRUE,7
Rotate Inventory In Online Deals Category,shahmeer-sd,,TRUE,7
Rotate Inventory In Daily Deals Category,shahmeer-sd,,TRUE,7
Reduce Prices For Deals Pieces If Not Rotated Out,shahmeer-sd,,TRUE,7
Coordinate With Fa To Get Pics Taken Of The Needed Pieces And Uploaded,shahmeer-sd,,TRUE,7
Opening And Closing ,shamsha-sc,,TRUE,1
Glass Plus Cleaning,shamsha-sc,,TRUE,1
Check The Displays In Atq Section,shamsha-sc,,TRUE,1
Check The Trays ,shamsha-sc,,TRUE,1
Refill And Display Jewelry In Atq Section,shamsha-sc,,TRUE,1
Taking Google Reviews,shamsha-sc,,TRUE,1
Check The Section Thoroughly After Closing,shamsha-sc,,TRUE,1
Counting Inventory Of The Atq Section,shamsha-sc,,TRUE,1
Put Back The Unused Displays Properly,shamsha-sc,,TRUE,1
Cleaning Duty On Thursday,shamsha-sc,,TRUE,7
Cleaning The Trays Once A Week,shamsha-sc,,TRUE,7
"Check For Missing Stones And Screws, Bent Posts, Damages, Etc.",shamsha-sc,,TRUE,7
Helping In Tagging Office,shamsha-sc,,TRUE,7
Cleaning The Displays,shamsha-sc,,TRUE,7
Follow Up For Special Orders,shamsha-sc,,TRUE,7
Refilling The Boxes On Tuesday And Friday,shamsha-sc,,TRUE,7
Opening And Closing ,suresh-su,,TRUE,1
Glass Cleaning,suresh-su,,TRUE,1
Jewelry Tagging ,suresh-su,,TRUE,1
Jewelry Photography,suresh-su,,TRUE,1
Jewelry Assembly,suresh-su,,TRUE,1
Jewelry Bagging ,suresh-su,,TRUE,1
Jewelry Photo Transfer,suresh-su,,TRUE,1
Jewelry Quality Check,suresh-su,,TRUE,1
Jewelry Missing Stone Check,suresh-su,,TRUE,1
Jewelry Backchain Attachment,suresh-su,,TRUE,7
Diamond Adding Monogram,suresh-su,,TRUE,7
Jewelry Cleaning ,suresh-su,,TRUE,7
Quick Jewelry Repair,suresh-su,,TRUE,7
Jewelry Sales,suresh-su,,TRUE,7
Sales Support ,suresh-su,,TRUE,7
Google Review Request ,suresh-su,,TRUE,7
Packing Material Support,suresh-su,,TRUE,7
Refill Inventory,sushma-sp,,TRUE,1
Arrange The Gold Kiosk Section Daily ,sushma-sp,,TRUE,1
"Qc Section: Check Locks On Chains, Bends, Damages, Missing Stones, Damaged Earrings, Missing Findings. ",sushma-sp,,TRUE,1
Earring Screws Check ,sushma-sp,,TRUE,1
Counting Inventory,sushma-sp,,TRUE,1
Glass Plus,sushma-sp,,TRUE,1
Cleaning ,sushma-sp,,TRUE,7
Clean Trays And Displays,sushma-sp,,TRUE,7
Box Refills,sushma-sp,,TRUE,7
"Cleaning, Sorting, And Re-Arranging Displays",sushma-sp,,TRUE,7
Tagging Office As Needed,sushma-sp,,TRUE,7
Special Order Follow-Up,sushma-sp,,TRUE,7
